"[80.0, 8.0, 0.0, -25.0, -15.0, 0.0]",1,1
"[80.0, 10.0, 0.0, -70.0, -15.0, 0.0]",1,1
"[80.0, 10.0, 0.0, -55.0, -15.0, 0.0]",1,1
"[80.0, 8.0, 30.0, -55.0, -15.0, 100.0]",3,3
"[30.0, 10.0, 10.0, -15.0, -15.0, 0.0]",1,1
"[80.0, 10.0, 0.0, -25.0, -15.0, 0.0]",1,1
"[80.0, 10.0, 0.0, -30.0, -15.0, 0.0]",1,1
"[80.0, 10.0, 0.0, -15.0, -15.0, 0.0]",1,1
"[80.0, 8.0, 0.0, -45.0, -15.0, 0.0]",1,1
"[80.0, 10.0, 0.0, -40.0, -15.0, 0.0]",1,1
"[80.0, 10.0, 0.0, -55.0, -15.0, 0.0]",1,1
"[240.0, 10.0, 0.0, -25.0, -15.0, 0.0]",3,3
"[80.0, 10.0, 0.0, -15.0, -15.0, 0.0]",1,1
"[80.0, 10.0, 0.0, -55.0, -15.0, 0.0]",1,1
"[80.0, 8.0, 0.0, -55.0, -15.0, 0.0]",1,1
"[80.0, 10.0, 0.0, -30.0, -15.0, 0.0]",1,1
"[80.0, 8.0, 0.0, -55.0, -15.0, 0.0]",1,1
"[80.0, 10.0, 0.0, -70.0, -15.0, 0.0]",1,1
"[80.0, 8.0, 20.0, -45.0, -15.0, 0.0]",1,1
"[80.0, 8.0, 0.0, 0.0, -15.0, 0.0]",1,1
"[80.0, 8.0, 0.0, -55.0, -15.0, 0.0]",1,1
"[80.0, 8.0, 20.0, -30.0, -15.0, 0.0]",1,1
"[80.0, 8.0, 40.0, -45.0, -15.0, 100.0]",2,3
"[30.0, 8.0, 30.0, -55.0, -15.0, 100.0]",1,1
"[80.0, 10.0, 0.0, -30.0, 30.0, 0.0]",1,1
"[80.0, 10.0, 0.0, -55.0, -15.0, 0.0]",1,1
"[160.0, 10.0, 0.0, -45.0, -15.0, 0.0]",3,3
"[80.0, 10.0, 0.0, -25.0, -15.0, 0.0]",1,1
"[80.0, 8.0, 0.0, 0.0, -15.0, 0.0]",1,1
"[80.0, 10.0, 0.0, -30.0, -15.0, 0.0]",1,1
"[80.0, 10.0, 10.0, -55.0, -15.0, 0.0]",1,1
"[80.0, 8.0, 0.0, -30.0, -15.0, 0.0]",1,1
"[80.0, 10.0, 0.0, -30.0, -15.0, 0.0]",1,1
"[80.0, 10.0, 0.0, -30.0, -15.0, 0.0]",1,1
"[80.0, 10.0, 0.0, -55.0, -15.0, 0.0]",1,1
"[80.0, 8.0, 30.0, -15.0, -15.0, 100.0]",3,3
"[80.0, 10.0, 0.0, -45.0, -15.0, 0.0]",1,1
"[80.0, 8.0, 30.0, -25.0, -15.0, 100.0]",3,3
"[80.0, 8.0, 10.0, -55.0, -15.0, 0.0]",1,1
"[80.0, 10.0, 10.0, -70.0, -15.0, 0.0]",1,1
"[80.0, 8.0, 0.0, -40.0, -15.0, 0.0]",1,1
"[80.0, 8.0, 0.0, -30.0, -15.0, 0.0]",1,1
"[0.0, 8.0, 30.0, -15.0, -15.0, 100.0]",4,3
"[80.0, 10.0, 0.0, -55.0, -15.0, 0.0]",1,1
